policy_num,base_policy,day_claimed,week_claimed,month_claimed,deductible,days_policy_claim,past_num_claims,address_change_claim,agent_type,rep_num,is_fraud,age,sex,age_group,num_cars,vehicle_age,vehicle_category,vehicle_price,make,accident_area,fault,witness_present,police_report_filed
1,liability,tuesday,1,jan,300,more than 30,none,1 year,external,12,0,21,female,26 to 30,3 to 4,3 years,sport,more than 69000,honda,urban,policy holder,no,no
2,collision,monday,4,jan,400,more than 30,none,no change,external,15,0,34,male,31 to 35,1 vehicle,6 years,sport,more than 69000,honda,urban,policy holder,no,yes
3,collision,thursday,2,nov,400,more than 30,1,no change,external,7,0,47,male,41 to 50,1 vehicle,7 years,sport,more than 69000,honda,urban,policy holder,no,no
4,liability,friday,1,jul,400,more than 30,1,no change,external,4,0,65,male,51 to 65,1 vehicle,> 7 years,sport,20000 to 29000,toyota,rural,third party,no,yes
5,collision,tuesday,2,feb,400,more than 30,none,no change,external,3,0,27,female,31 to 35,1 vehicle,5 years,sport,more than 69000,honda,urban,third party,no,no
6,collision,wednesday,1,nov,400,more than 30,none,no change,external,12,0,20,male,21 to 25,1 vehicle,5 years,sport,more than 69000,honda,urban,third party,no,no
7,collision,monday,3,feb,400,more than 30,1,no change,external,14,0,36,male,36 to 40,1 vehicle,7 years,sport,more than 69000,honda,urban,third party,no,no
8,collision,tuesday,4,mar,400,more than 30,1,no change,external,1,0,39,male,16 to 17,1 vehicle,<= 1 year,sport,more than 69000,honda,urban,policy holder,no,no
9,collision,wednesday,5,dec,400,more than 30,none,no change,external,7,0,30,male,31 to 35,1 vehicle,6 years,sport,more than 69000,honda,urban,policy holder,yes,no
10,all perils,wednesday,3,apr,400,more than 30,2 to 4,no change,external,7,0,42,male,36 to 40,1 vehicle,> 7 years,utility,more than 69000,ford,urban,policy holder,no,no
11,all perils,wednesday,3,mar,400,more than 30,none,no change,external,7,0,71,male,over 65,1 vehicle,> 7 years,sedan,more than 69000,mazda,urban,policy holder,no,no
12,liability,monday,5,mar,400,more than 30,2 to 4,no change,external,13,0,52,male,41 to 50,1 vehicle,> 7 years,sport,20000 to 29000,honda,urban,policy holder,no,no
13,liability,friday,3,jan,400,more than 30,1,no change,external,11,0,28,male,31 to 35,1 vehicle,7 years,sport,more than 69000,ford,urban,policy holder,no,no
14,collision,wednesday,1,feb,400,more than 30,none,no change,external,12,0,39,male,16 to 17,1 vehicle,<= 1 year,sedan,more than 69000,honda,rural,third party,no,no
15,liability,thursday,1,feb,400,more than 30,none,no change,external,3,0,61,male,51 to 65,1 vehicle,> 7 years,sport,more than 69000,ford,urban,policy holder,no,no
16,liability,monday,5,aug,400,more than 30,none,no change,external,16,0,38,male,36 to 40,1 vehicle,6 years,sport,more than 69000,ford,urban,policy holder,no,no
17,all perils,wednesday,1,may,400,more than 30,none,no change,external,15,0,41,male,36 to 40,1 vehicle,7 years,sedan,more than 69000,ford,urban,policy holder,no,no
18,collision,wednesday,1,aug,400,more than 30,none,no change,external,6,0,28,female,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,chevrolet,urban,third party,no,no
19,liability,monday,5,may,400,more than 30,1,no change,external,6,0,32,male,31 to 35,1 vehicle,7 years,sport,20000 to 29000,pontiac,urban,policy holder,no,no
20,liability,tuesday,1,may,400,more than 30,2 to 4,no change,external,2,0,30,male,31 to 35,1 vehicle,6 years,sport,more than 69000,honda,urban,third party,no,no
21,liability,tuesday,1,may,400,more than 30,1,no change,external,3,0,40,male,36 to 40,1 vehicle,> 7 years,sport,20000 to 29000,mazda,urban,policy holder,no,no
22,collision,monday,2,jan,400,more than 30,1,4 to 8 years,external,13,0,47,male,41 to 50,2 vehicles,> 7 years,sedan,20000 to 29000,chevrolet,urban,policy holder,no,no
23,liability,thursday,5,aug,400,more than 30,1,no change,external,8,0,63,male,51 to 65,1 vehicle,> 7 years,sport,20000 to 29000,mazda,urban,policy holder,no,no
24,liability,tuesday,3,jun,400,more than 30,none,no change,external,5,0,31,male,31 to 35,1 vehicle,6 years,sport,30000 to 39000,pontiac,urban,third party,no,no
25,all perils,friday,3,sep,400,more than 30,more than 4,no change,external,12,0,45,male,36 to 40,1 vehicle,> 7 years,sedan,more than 69000,mazda,urban,policy holder,no,yes
26,liability,tuesday,1,apr,400,more than 30,more than 4,no change,external,16,0,60,male,51 to 65,1 vehicle,> 7 years,sport,20000 to 29000,pontiac,urban,policy holder,no,no
27,collision,thursday,4,jun,400,more than 30,more than 4,no change,external,1,0,21,male,26 to 30,1 vehicle,5 years,sedan,30000 to 39000,honda,urban,policy holder,no,no
28,all perils,friday,4,may,400,more than 30,2 to 4,no change,external,1,0,42,male,36 to 40,1 vehicle,7 years,sedan,30000 to 39000,acura,urban,policy holder,no,no
29,all perils,tuesday,4,sep,400,more than 30,none,no change,external,9,1,39,male,16 to 17,1 vehicle,<= 1 year,sedan,more than 69000,honda,urban,policy holder,no,no
30,collision,wednesday,4,may,400,more than 30,none,no change,external,12,0,39,female,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,mazda,urban,policy holder,no,no
31,collision,friday,2,mar,400,more than 30,2 to 4,no change,internal,2,0,47,male,41 to 50,1 vehicle,> 7 years,sedan,30000 to 39000,dodge,urban,policy holder,no,no
32,collision,tuesday,2,mar,400,more than 30,1,no change,external,6,0,39,male,16 to 17,1 vehicle,<= 1 year,sedan,more than 69000,honda,urban,policy holder,no,no
33,collision,wednesday,2,mar,400,more than 30,more than 4,no change,external,2,0,42,male,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,chevrolet,urban,policy holder,no,no
34,collision,tuesday,4,jan,400,more than 30,none,no change,external,2,0,30,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,honda,urban,third party,no,no
35,all perils,wednesday,4,jan,400,more than 30,2 to 4,no change,external,12,0,42,male,36 to 40,1 vehicle,7 years,utility,more than 69000,ford,urban,policy holder,no,no
36,liability,thursday,2,oct,400,more than 30,2 to 4,no change,external,5,0,34,male,31 to 35,1 vehicle,7 years,sport,20000 to 29000,chevrolet,urban,third party,no,no
37,collision,thursday,3,oct,400,more than 30,none,no change,external,11,0,30,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,honda,urban,third party,no,no
38,collision,friday,3,sep,400,more than 30,none,no change,external,4,0,27,male,31 to 35,1 vehicle,7 years,sedan,30000 to 39000,mazda,urban,policy holder,no,no
39,collision,thursday,4,nov,400,more than 30,none,no change,external,12,0,55,male,41 to 50,1 vehicle,> 7 years,sport,more than 69000,honda,urban,policy holder,no,no
40,collision,tuesday,1,jan,400,more than 30,none,no change,external,1,0,35,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
41,collision,wednesday,1,apr,400,more than 30,2 to 4,no change,external,11,0,35,female,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,chevrolet,urban,policy holder,no,no
42,all perils,wednesday,4,mar,400,more than 30,2 to 4,no change,external,15,0,44,male,36 to 40,3 to 4,7 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
43,liability,monday,1,jul,400,more than 30,none,4 to 8 years,external,12,0,42,female,36 to 40,2 vehicles,4 years,sport,20000 to 29000,toyota,urban,policy holder,no,no
44,collision,monday,4,jan,400,more than 30,2 to 4,no change,external,5,0,41,male,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,honda,urban,policy holder,no,no
